reviewed_composition	canonical_tier	old_module	canonical_module	migration_action	representative_declaration	rationale
reusable	reusable	NumStability.Algorithms.Ch15CondEstimators	NumStability.Algorithms.NormEstimation.ClassicalEstimators	move declarations to canonical reusable owner; retain exact wrapper	linpack_estimate_le_infNorm_inv	cohesive classical estimator API reused by the Dixon source adapters
source	source	NumStability.Algorithms.Ch15DixonClosure	NumStability.Source.Higham.Chapter15.Theorem06.ProbabilityBound	move declarations to canonical source owner; retain exact wrapper	higham15_6_dixon_closed	book-specific closure of the displayed Dixon probability bound
source	source	NumStability.Algorithms.Ch15DixonProbability	NumStability.Source.Higham.Chapter15.Theorem06.GaussianDirection	move declarations to canonical source owner; retain exact wrapper	ch15_standardGaussianDirection_inner_dixon_bound	Gaussian-direction lemma chain specialized to Higham Theorem 15.6
source	source	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Section03.OneNormEstimators	move declarations to canonical source owner; retain exact wrapper	H15_Algorithm15_4_lower_bound	Chapter 15 Algorithms 15.3 and 15.4 plus the displayed example
reusable	reusable	NumStability.Algorithms.CondEstimation	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod	move declarations to canonical reusable owner; retain exact wrapper	lapackNormEstimator_lower_bound	widely consumed one-norm power-method and LAPACK estimator API
source	source	NumStability.Algorithms.HighamChapter15BoydBridges	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.FixedPointConvergence	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_global_of_compact_unique_optimal_fixed	fixed-point convergence chain built for the Boyd-attributed Chapter 15 endpoint
source	source	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.WeightedSecondVariation	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_concrete_linear_of_strongLocalMaximum_subsequentialLimit	weighted second-variation closure of Boyd's corrected lemma
source	source	NumStability.Algorithms.HighamChapter15BoydLocalStability	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.LocalStability	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_local_linear_of_fderiv_power_stable	local stability support for the Chapter 15 Boyd convergence claim
source	source	NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.RowwiseSmoothness	move declarations to canonical source owner; retain exact wrapper	rect_general_fderiv_xnext_apply_eq_inv_projectedLemma3B_rowwise_source_domain	rowwise source-domain repair for the literal Algorithm 15.1 update
source	source	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.ScalarCase	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_global_of_nonnegative_irreducibleGram_all_dimensions	scalar boundary case for the Boyd global result
source	source	NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.CorrectedConvergence	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_source_linear_of_strongLocalMaximum_subsequentialLimit	corrected source-strength convergence endpoint
