module	applied_tier	provenance	frozen_proposal_tier	rationale
NumStability.Algorithms.Ch10ActualSourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Theorem 10.6: actual rounded Cholesky source closure', 7 source-marked declarations); generic helpers are scoped
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# The missing hypothesis cannot be dropped -/', 95 source-marked declarations); generic helpers are scoped to the same 
NumStability.Algorithms.Ch10KahanSharpnessSource	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Source-facing packaging for Higham Lemma 10.13', 27 source-marked declarations); generic helpers are scoped to the same
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham 10.14 and the semidefinite stopping tests: actual-run closure', 29 source-marked declarations); generic helpers 
NumStability.Algorithms.Ch10Theorem108Componentwise	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Theorem 10.8: componentwise resolvent bridge', 13 source-marked declarations); generic helpers are scoped to the
NumStability.Algorithms.Ch10Theorem108Source	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Theorem 10.8: literal-source audit and corrected domain', 32 source-marked declarations); generic helpers are sc
NumStability.Algorithms.Ch14AsymptoticFamilies	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 4/10 source-named declarations and title 'Ch14AsymptoticFamilies (compatibility module)'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.MatrixInversion and numbered/printed/source declarations 
NumStability.Algorithms.Ch14BlockTriInverse	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 19 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Uniform inverse regularity from the computed factors -/', 3 source-marked declarations); generic helpers are scoped t
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Computed-to-exact transfer for the (14.32) leading objects -/', 33 source-marked declarations); generic helpers are s
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 2 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14Corollary146Closure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Exact envelope comparison -/', 88 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Algorithms.Ch14Corollary146Concrete	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Exact scope', 10 source-marked declarations); generic helpers are scoped to the same source result rather than a supp
NumStability.Algorithms.Ch14Corollary146SourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Source-active fixed-run endpoints -/', 20 source-marked declarations); generic helpers are scoped to the same source 
NumStability.Algorithms.Ch14Corollary147	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Corollary 14.7 — Row Diagonally Dominant Gauss–Jordan Elimination Stability', 9 source-marked declarations); generic he
NumStability.Algorithms.Ch14Corollary147Closure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Corollary 14.7: the structural closure', 15 source-marked declarations); generic helpers are scoped to the same source 
NumStability.Algorithms.Ch14Corollary147Concrete	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Corollary 14.7 from the concrete Gauss-Jordan computation', 18 source-marked declarations); generic helpers are scoped 
NumStability.Algorithms.Ch14Corollary147SourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Source-run family -/', 57 source-marked declarations); generic helpers are scoped to the same source result rather th
NumStability.Algorithms.Ch14Corollary147WeakFamily	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Corollary 14.7 for weak row dominance along a precision family', 43 source-marked declarations); generic helpers are sc
NumStability.Algorithms.Ch14ForwardErrorEndpoint	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Residual-derived first-order envelopes', 44 source-marked declarations); generic helpers are scoped to the same sourc
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 4 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Finite-dimensional closure lemmas -/', 29 source-marked declarations); generic helpers are scoped to the same source 
