reviewed_composition	canonical_tier	old_module	canonical_module	migration_action	representative_declaration
source	source	NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability.Source.Higham.Chapter14.AsymptoticFamilies	move declarations to canonical source owner; retain exact wrapper	ch14ext_eq14_6_familyRemainder_isBigO
source	source	NumStability.Algorithms.Ch14BlockTriInverse	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse	collapse declaration-free locator to exact wrapper	ch14ext_blk11
source	source	NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability.Source.Higham.Chapter14.Corollary06.SPD.FinalizedUniformInverse	move declarations to canonical source owner; retain exact wrapper	ch14ext_cor146_uniformInverseRegularity_of_finalizedGJE
source	source	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.FinalizedFamilyBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_cor147Finalized_factorProximity_isBigO
source	source	NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceDomainConstructor	collapse declaration-free locator to exact wrapper	ch14ext_cor147FinalizedRunFamily_exists_of_source_domain
source	source	NumStability.Algorithms.Ch14Corollary146Closure	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure	collapse declaration-free locator to exact wrapper	ch14ext_cor146_abs_constructedQ_le_abs_U_add
source	source	NumStability.Algorithms.Ch14Corollary146Concrete	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Concrete	collapse declaration-free locator to exact wrapper	ch14ext_cor146_absLU_eq_absRT_absR
source	source	NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	collapse declaration-free locator to exact wrapper	ch14ext_cor146Source_envelope_le_printed_add_correction
source	source	NumStability.Algorithms.Ch14Corollary147	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Basic	collapse declaration-free locator to exact wrapper	ch14ext_cor147_condU_infNorm_le
source	source	NumStability.Algorithms.Ch14Corollary147Closure	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Closure	collapse declaration-free locator to exact wrapper	ch14ext_rowDiagDominant_firstSchurComplement
source	source	NumStability.Algorithms.Ch14Corollary147Concrete	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Concrete	collapse declaration-free locator to exact wrapper	ch14ext_cor147ComputedProduct
source	source	NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceFamilyBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_cor147Source_residual_14_31_family_endpoint
source	source	NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamilyBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_cor147WeakResidualRemainder_isBigO
source	source	NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability.Source.Higham.Chapter14.ForwardErrorEndpoints	move declarations to canonical source owner; retain exact wrapper	ch14ext_eq14_6_method1_forward_error_endpoint
