module	tier	reason
NumStability.Algorithms.MatrixPowers	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersComplex	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersJordan	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersLp	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersLpJordan	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersPseudospectral	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Algorithms.MatrixPowersSpectral	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.BergerGeneral	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.BergerInequality	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.BergerResolvent	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonal	reusable	Declaration-level review groups 21 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixBlockDiagonal`, `NumStability.cstarMatrixBlockDiagonalStarAlgHom`, `NumStability.cstarMatrixBlockDiagonalStarAlgHom_apply`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonalCompression	reusable	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixBlockDiagonal_mul_columnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_blockDiagonal_mul_columnPair`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	reusable	Declaration-level review groups 6 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_columnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_self`.
