owner_module	path	declaration_count	destination_modules	compatibility_action	review_status
NumStability.Algorithms.Ch15CondEstimators	NumStability/Algorithms/Ch15CondEstimators.lean	7	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.Ch15DixonClosure	NumStability/Algorithms/Ch15DixonClosure.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.Ch15DixonProbability	NumStability/Algorithms/Ch15DixonProbability.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.Chapter15CondEst	NumStability/Algorithms/Chapter15CondEst.lean	5	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydBridges	NumStability/Algorithms/HighamChapter15BoydBridges.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability/Algorithms/HighamChapter15BoydConcreteLemma3.lean	6	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydLocalStability	NumStability/Algorithms/HighamChapter15BoydLocalStability.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	NumStability/Algorithms/HighamChapter15BoydRowwiseDomain.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability/Algorithms/HighamChapter15BoydScalar.lean	9	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability/Algorithms/HighamChapter15BoydSourceClosure.lean	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydSourceDomain	NumStability/Algorithms/HighamChapter15BoydSourceDomain.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydSourceLocal	NumStability/Algorithms/HighamChapter15BoydSourceLocal.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability/Algorithms/HighamChapter15BoydSourceSecondDerivative.lean	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15BoydUniqueness	NumStability/Algorithms/HighamChapter15BoydUniqueness.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15ConvergenceProse	NumStability/Algorithms/HighamChapter15ConvergenceProse.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.HighamChapter15RectTermination	NumStability/Algorithms/HighamChapter15RectTermination.lean	45	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.Higham15Problem15_4	NumStability/Algorithms/LU/Higham15Problem15_4.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.Higham15Problem15_6	NumStability/Algorithms/LU/Higham15Problem15_6.lean	5	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability/Algorithms/LU/Higham15Problem15_6Closure.lean	17	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.Higham15Problem15_6Operational	NumStability/Algorithms/LU/Higham15Problem15_6Operational.lean	3	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.ArrayExecution	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.TridiagonalCondCh15	NumStability/Algorithms/LU/TridiagonalCondCh15.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability/Algorithms/LU/TridiagonalCondCh15Closure.lean	21	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	NumStability/Algorithms/LU/TridiagonalCondCh15IkebeClosure.lean	2	NumStability.Source.Higham.Chapter15.Theorem09.Ikebe.IrreducibleRightInverse.RankOneStructure	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability/Algorithms/NormEstimation/PNorm/Endpoints/ConvergenceStatements.lean	8	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability/Algorithms/NormEstimation/PNorm/Endpoints/PNormRectangular.lean	6	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.PNormPowerMethod	NumStability/Algorithms/PNormPowerMethod.lean	0	-	declaration-free reviewed owner: normalize imports to exact canonical/source targets and retain documented import-only wrapper	approved_before_activation
