module	tier	existence	base_blob_oid	rationale
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonal	reusable	new_casefold_vacant	-	Declaration-level review groups 21 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixBlockDiagonal`, `NumStability.cstarMatrixBlockDiagonalStarAlgHom`, `NumStability.cstarMatrixBlockDiagonalStarAlgHom_apply`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonalCompression	reusable	new_casefold_vacant	-	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixBlockDiagonal_mul_columnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_blockDiagonal_mul_columnPair`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	reusable	new_casefold_vacant	-	Declaration-level review groups 6 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_columnPair`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_self`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	reusable	new_casefold_vacant	-	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPair_conjTranspose_mul_eq_compression_mul_conjTranspose_of_commute`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_reflectionAverage_of_sum`, `NumStability.cstarMatrixColumnPair_mul_columnPair_eq_columnPair_compression_of_commute`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	reusable	new_casefold_vacant	-	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPairRangeProjection`, `NumStability.cstarMatrixColumnPairRangeProjection_isSelfAdjoint`, `NumStability.cstarMatrixColumnPairRangeProjection_mul_columnPair_of_sum`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	reusable	new_casefold_vacant	-	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPairRangeReflection`, `NumStability.cstarMatrixColumnPairRangeReflection_conj_isStrictlyPositive_of_sum`, `NumStability.cstarMatrixColumnPairRangeReflection_isSelfAdjoint`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteDimensional	reusable	new_casefold_vacant	-	Declaration-level review groups 1 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_complex_finiteDimensional`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteMatrixOrder	reusable	new_casefold_vacant	-	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_le_of_matrix_le`, `NumStability.cstarMatrix_nonneg_of_matrix_posSemidef`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding	reusable	new_casefold_vacant	-	Declaration-level review groups 12 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.finiteComplexCStarMatrix`, `NumStability.finiteComplexCStarMatrix_add`, `NumStability.finiteComplexCStarMatrix_apply`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	reusable	new_casefold_vacant	-	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.finiteComplexCStarMatrix_add_smul_one_le_of_finiteLoewnerLe`, `NumStability.finiteComplexCStarMatrix_le_of_finiteLoewnerLe`, `NumStability.finiteComplexCStarMatrix_nonneg_of_finitePSD`.
