reviewed_composition	historical_owner	loc	selected_declarations	reusable_declarations	source_declarations	private_reverse_closure	canonical_reusable_destinations	canonical_source_destinations	direct_dependencies	external_consumers	migration_action	representative_declaration	exclusions
aggregate	NumStability.Algorithms.RandNLA	25	0	0	0	0	NumStability.Algorithms.RandomizedLinearAlgebra	NumStability.Source.DrineasMahoney.RandNLA2016	17 historical family leaves	NumStability.Algorithms	replace by declaration-free compatibility route over the reusable and source family umbrellas	n/a	LeVeque Chapter01;gate/audit/ledger artifacts;.faithfulness-audit;module-audit.json;unit-index.json
mixed	NumStability.Algorithms.RandNLA.ElementwiseSampling	1464	84	82	2	0	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.Elementwise.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.Sampling	FloatingPoint.Model;Analysis.FiniteProbability;Analysis.MatrixAlgebra;Analysis.Rounding;Analysis.Summation.ErrorBounds	HitCountConcentration;ElementwiseSpectral;historical aggregate	split reusable sampling API from Algorithm 1 correspondence; exact declaration-free wrapper	sqMagProb_nonneg	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.ElementwiseSpectral	14199	308	91	200	17	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.SpectralTransfer.Elementwise	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ElementwiseSpectral	ElementwiseSampling;HitCountConcentration;ElementwiseTraceMGF;Preconditioning;Analysis.FiniteProbability;Analysis.MatrixConcentration;Analysis.MatrixSpectral	historical aggregate	split reusable spectral transfer from Equation 2 endpoints; relocate the hit-count private reverse closure into the source owner; exact declaration-free wrapper	elementwiseTraceResidual	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.ElementwiseTraceMGF	527	11	1	10	0	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.TraceMGF.Elementwise	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.TraceMGF	HitCountConcentration;Analysis.LiebTrace;Mathlib.Data.Fin.Tuple.Basic	ElementwiseSpectral;historical aggregate	split reusable trace-MGF primitive from Algorithm 1 correspondence; retarget exact LiebTrace leaves; exact declaration-free wrapper	sqMagTraceProbability_expectationReal_finiteTrace_finiteMatrixExp_add_sum_le	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.HitCountConcentration	2202	95	55	37	3	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.HitCounts.Bounds	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitCountConcentration	ElementwiseSampling;Analysis.FiniteProbability;Mathlib probability and real-analysis leaves	ElementwiseTraceMGF;ElementwiseSpectral;historical aggregate	split reusable hit-count concentration from Algorithm 1 endpoints; relocate the genuine-private seed and reverse closure into the source owner; exact declaration-free wrapper	highProbability_sqMagTraceStability_of_independent_chernoff_optimized_tail_budget	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.LeastSquaresSketch	13329	140	75	57	8	NumStability.Algorithms.RandomizedLinearAlgebra.LeastSquaresSketching.Objectives.Core;NumStability.Algorithms.RandomizedLinearAlgebra.LeastSquaresSketching.RowSampling.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.Endpoints	Algorithms.LinearSystems.LeastSquares.Basic;NormalEquations;StoredQR;Analysis.Perturbation.LeastSquares.Basic;BackwardError;NormalEquations;RowSamplingLeverage;RowSamplingLeverageMGF;Source.Higham.Chapter20.Theorem03.QRSolve	 historical aggregate	split generic objective and row-sampling SCCs from Equation 8 and Higham Chapter 20 solver glue; only source owner may import Higham; relocate row-Gram reverse closure; exact declaration-free wrapper	IsLeastSquaresApproxMinimizer	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.LowRankApprox	18476	805	466	339	0	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core;NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.RankFactorizations.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	Analysis.MatrixSpectral;MatrixInversion LU-factor and residual leaves;Algorithms.LU.Doolittle;Preconditioning	Algorithms.LeastSquares.LSQRSolve;Algorithms.LinearSystems.LeastSquares.Equality.Basic;Algorithms.LinearSystems.LeastSquares.GramBasis;Algorithms.LinearSystems.QR.GramSchmidtPolar;Analysis.Perturbation.LeastSquares.GramBasis;Source.Higham.Chapter20.Theorem03.QRSolve;historical aggregate	split reusable rank-factorization and column-sketch SCCs from Equation 9 endpoints; retarget all production consumers; exact declaration-free wrapper	RectRankFactorization	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.Preconditioning	24951	1179	1082	31	66	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.Preconditioning	Algorithms.MatMul;Algorithms.Summation.Tree.Core;Analysis.FiniteProbability;Analysis.MatrixAlgebra;Analysis.MatrixConcentration;Analysis.Summation.ErrorBounds;RowSamplingLeverage;UniformRowSampling	ElementwiseSpectral;LowRankApprox;RowSamplingLeverageComputedBasis;UniformRowSamplingComposition;historical aggregate	split exact transforms from Algorithm 3 endpoints; relocate uniform-row private reverse closure into source owner; exact declaration-free wrapper	preconditionedGram	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSampling	843	77	73	4	0	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.RowNorm.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm02.RowSampling.Endpoints;NumStability.Source.DrineasMahoney.RandNLA2016.Equation04.RowSamplingProbability.Normalization	FloatingPoint.Model;Algorithms.DotProduct;Analysis.MatrixAlgebra;Analysis.FiniteProbability	family row-sampling leaves;ProtectedW11 test;historical aggregate	split reusable row-trace API from Algorithm 2 and Equation 4 endpoints; exact declaration-free wrapper	RowTrace	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSamplingGram	3199	96	69	4	23	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.RowNorm.Gram	NumStability.Source.DrineasMahoney.RandNLA2016.Equation05.GramApproximation.Bounds	Algorithms.DotProduct;RowSampling	RowSamplingLeverage;RowSamplingTraceMGF;historical aggregate	split reusable Gram estimators from Equation 5 bounds; relocate genuine-private row-Gram seed and reverse closure into source owner; exact declaration-free wrapper	rowSampleGram	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSamplingLeverage	529	20	15	3	2	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.LeverageScore.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Equation06.LeverageProbability.Normalization;NumStability.Source.DrineasMahoney.RandNLA2016.Equation07.SubspaceEmbedding.Leverage	RowSamplingGram	Preconditioning;UniformRowSampling;LeastSquaresSketch;RowSamplingLeverageMGF;RowSamplingLeverageComputedBasis;historical aggregate	split reusable leverage API from Equation 6/7 endpoints; relocate row-Gram reverse closure; exact declaration-free wrapper	leverageProb	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSamplingLeverageComputedBasis	1587	43	36	7	0	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.LeverageScore.ComputedBasis	NumStability.Source.DrineasMahoney.RandNLA2016.Equation07.SubspaceEmbedding.ComputedBasis	RowSamplingLeverageMGF;Preconditioning	historical aggregate	split reusable computed-basis transfer from Equation 7 endpoint; exact declaration-free wrapper	computedBasisLeverageProb	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSamplingLeverageMGF	2080	32	12	20	0	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.TraceMGF.LeverageScore	NumStability.Source.DrineasMahoney.RandNLA2016.Equation07.SubspaceEmbedding.LeverageTraceMGF	RowSamplingLeverage;RowSamplingTraceMGF;Analysis.MatrixConcentration	LeastSquaresSketch;RowSamplingLeverageComputedBasis;historical aggregate	split reusable trace-MGF API from Equation 7 endpoint; exact declaration-free wrapper	leverageTraceProbability_expectationReal_finiteTrace_finiteMatrixExp_add_sum_le	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.RowSamplingTraceMGF	507	11	1	10	0	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.TraceMGF.RowNorm	NumStability.Source.DrineasMahoney.RandNLA2016.Equation07.SubspaceEmbedding.RowNormTraceMGF	RowSamplingGram;Analysis.LiebTrace;Mathlib.Data.Fin.Tuple.Basic	RowSamplingLeverageMGF;ProtectedW11 test;historical aggregate	split reusable trace-MGF primitive from Equation 7 endpoint; retarget exact LiebTrace leaves; exact declaration-free wrapper	rowSqNormTraceProbability_expectationReal_finiteTrace_finiteMatrixExp_add_sum_le	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.UniformRowSampling	1064	33	22	1	10	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.UniformRows.Core	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.UniformRows	RowSamplingLeverage	Preconditioning;UniformRowSamplingMGF;UniformRowSamplingComposition;UniformRowSamplingFP;ProtectedW11 test;historical aggregate	split reusable uniform-row API from Algorithm 3 endpoint; relocate genuine-private uniform-row seed and reverse closure into source owner; exact declaration-free wrapper	uniformRowTraceProbability	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.UniformRowSamplingComposition	700	11	6	4	1	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.UniformRowComposition	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.UniformRowComposition	Preconditioning;UniformRowSamplingMGF	UniformRowSamplingFP;historical aggregate	split reusable composition law from Algorithm 3 endpoint; relocate uniform-row reverse closure; exact declaration-free wrapper	uniformRowCompositionProductLaw	same wave exclusions
mixed	NumStability.Algorithms.RandNLA.UniformRowSamplingFP	16168	377	204	78	95	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.UniformRows.FloatingPoint	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.FloatingPoint	UniformRowSamplingComposition;Mathlib real/tactic leaves	historical aggregate	split reusable rounded sampling analysis from Algorithm 3 endpoints; relocate uniform-row reverse closure into source owner; exact declaration-free wrapper	uniformRowSampleScaleDen	same wave exclusions
reusable	NumStability.Algorithms.RandNLA.UniformRowSamplingMGF	1873	32	32	0	0	NumStability.Algorithms.RandomizedLinearAlgebra.Concentration.TraceMGF.UniformRows	-	UniformRowSampling;Analysis.LiebTrace;Analysis.MatrixConcentration	UniformRowSamplingComposition;ProtectedW11 test;historical aggregate	move reusable trace-MGF owner; retarget exact LiebTrace leaves; exact declaration-free wrapper	uniformRowTraceProbability_expectationReal_finiteTrace_finiteMatrixExp_add_sum_le	same wave exclusions
