milestone_id	wave_id	depends_on	direct_import_quotient_edges	reviewed_ordering_decision
M01	R01	-	-	dependency-ordered semantic family
M02	R02	-	R02->R09:2	activation-first consumer cutover; two R02->R09 imports are rewired before R09 retirement
M03	R03	-	-	dependency-ordered semantic family
M04	R04	M03;M06	R04->R03:5;R04->R06:6	dependency-ordered semantic family
M05	R05	M03;M11	R05->R03:6;R05->R11:3	dependency-ordered semantic family; R11 integration retargeted 30 historical-support imports while the reviewed milestone dependency remains; reviewed R0008 compatibility repair leaves this direct-import quotient unchanged
M06	R06	M03;M11	R06->R03:1;R06->R11:1	dependency-ordered semantic family; reviewed R0008 compatibility repair leaves this direct-import quotient unchanged
M07	R07	-	-	dependency-ordered semantic family
M08	R08	M03;M06	R08->R03:7;R08->R06:6	dependency-ordered semantic family
M09	R09	M02;M06;M07;M11	R09->R06:3;R09->R07:1	dependency-ordered semantic family; R11 integration retargeted the sole historical-support import while the reviewed milestone dependency remains
M10	R10	M03;M05;M07	R10->R03:4;R10->R05:3;R10->R07:3	dependency-ordered semantic family
M11	R11	-	-	dependency-ordered semantic family
M12	R12	-	-	dependency-ordered semantic family
M13	I01	M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12	-	dependency-ordered semantic family
